"common_name_birdlife","scientific_name_birdlife","family_birdlife","iucn_category_birdlife","breeding_endemic_birdlife","avonet_join_key","avonet_name_manual_remap","avonet_name_manual_target","habitat_avonet","habitat_density_avonet","habitat_manual_added"
"White-breasted Guineafowl","Agelastes meleagrides","Guineafowl","Vulnerable",FALSE,"agelastes meleagrides",FALSE,NA,"Forest",1,FALSE
"Western Crested Guineafowl","Guttera verreauxi","Guineafowl","Least Concern",FALSE,"guttera verreauxi",FALSE,NA,"Forest",1,FALSE
"Ahanta Spurfowl","Pternistis ahantensis","Pheasants, Partridges, Turkeys, Grouse","Least Concern",FALSE,"pternistis ahantensis",FALSE,NA,"Forest",2,FALSE
"Forest Francolin","Peliperdix lathami","Pheasants, Partridges, Turkeys, Grouse","Least Concern",FALSE,"peliperdix lathami",FALSE,NA,"Forest",1,FALSE
"Afep Pigeon","Columba unicincta","Pigeons, Doves","Least Concern",FALSE,"columba unicincta",FALSE,NA,"Forest",2,FALSE
"Western Bronze-naped Pigeon","Columba iriditorques","Pigeons, Doves","Least Concern",FALSE,"columba iriditorques",FALSE,NA,"Forest",2,FALSE
"Tambourine Dove","Turtur tympanistria","Pigeons, Doves","Least Concern",FALSE,"turtur tympanistria",FALSE,NA,"Forest",2,FALSE
"Blue-headed Wood-dove","Turtur brehmeri","Pigeons, Doves","Least Concern",FALSE,"turtur brehmeri",FALSE,NA,"Forest",2,FALSE
"African Green-pigeon","Treron calvus","Pigeons, Doves","Least Concern",FALSE,"treron calvus",FALSE,NA,"Forest",2,FALSE
"Red-necked Nightjar","Caprimulgus ruficollis","Nightjars","Near Threatened",FALSE,"caprimulgus ruficollis",FALSE,NA,"Forest",2,FALSE
"Swamp Nightjar","Caprimulgus natalensis","Nightjars","Least Concern",FALSE,"caprimulgus natalensis",FALSE,NA,"Forest",2,FALSE
"Long-tailed Nightjar","Caprimulgus climacurus","Nightjars","Least Concern",FALSE,"caprimulgus climacurus",FALSE,NA,"Forest",2,FALSE
"Brown Nightjar","Veles binotatus","Nightjars","Least Concern",FALSE,"veles binotatus",FALSE,NA,"Forest",1,FALSE
"Black Spinetail","Telacanthura melanopygia","Swifts","Least Concern",FALSE,"telacanthura melanopygia",FALSE,NA,"Forest",1,FALSE
"Sabine's Spinetail","Rhaphidura sabini","Swifts","Least Concern",FALSE,"rhaphidura sabini",FALSE,NA,"Forest",1,FALSE
"Cassin's Spinetail","Neafrapus cassini","Swifts","Least Concern",FALSE,"neafrapus cassini",FALSE,NA,"Forest",1,FALSE
"Bates's Swift","Apus batesi","Swifts","Least Concern",FALSE,"apus batesi",FALSE,NA,"Forest",1,FALSE
"Black-throated Coucal","Centropus leucogaster","Cuckoos","Least Concern",FALSE,"centropus leucogaster",FALSE,NA,"Forest",1,FALSE
"Chattering Yellowbill","Ceuthmochares aereus","Cuckoos","Least Concern",FALSE,"ceuthmochares aereus",FALSE,NA,"Forest",1,FALSE
"Yellow-throated Cuckoo","Chrysococcyx flavigularis","Cuckoos","Least Concern",FALSE,"chrysococcyx flavigularis",FALSE,NA,"Forest",1,FALSE
"African Emerald Cuckoo","Chrysococcyx cupreus","Cuckoos","Least Concern",FALSE,"chrysococcyx cupreus",FALSE,NA,"Forest",2,FALSE
"Whistling Long-tailed Cuckoo","Cercococcyx lemaireae","Cuckoos","Near Threatened",FALSE,"cercococcyx lemaireae",FALSE,NA,"Forest",1,FALSE
"Olive Long-tailed Cuckoo","Cercococcyx olivinus","Cuckoos","Least Concern",FALSE,"cercococcyx olivinus",FALSE,NA,"Forest",1,FALSE
"Red-chested Cuckoo","Cuculus solitarius","Cuckoos","Least Concern",FALSE,"cuculus solitarius",FALSE,NA,"Forest",2,FALSE
"Black Cuckoo","Cuculus clamosus","Cuckoos","Least Concern",FALSE,"cuculus clamosus",FALSE,NA,"Forest",2,FALSE
"Common Cuckoo","Cuculus canorus","Cuckoos","Least Concern",FALSE,"cuculus canorus",FALSE,NA,"Forest",2,FALSE
"White-spotted Flufftail","Sarothrura pulchra","Rails, Gallinules, Coots","Least Concern",FALSE,"sarothrura pulchra",FALSE,NA,"Forest",1,FALSE
"Nkulengu Rail","Himantornis haematopus","Rails, Gallinules, Coots","Least Concern",FALSE,"himantornis haematopus",FALSE,NA,"Forest",1,FALSE
"Grey-throated Rail","Canirallus oculeus","Rails, Gallinules, Coots","Least Concern",FALSE,"canirallus oculeus",FALSE,NA,"Forest",1,FALSE
"Great Blue Turaco","Corythaeola cristata","Turacos","Least Concern",FALSE,"corythaeola cristata",FALSE,NA,"Forest",1,FALSE
"Green Turaco","Tauraco persa","Turacos","Least Concern",FALSE,"tauraco persa",FALSE,NA,"Forest",1,FALSE
"Yellow-billed Turaco","Tauraco macrorhynchus","Turacos","Least Concern",FALSE,"tauraco macrorhynchus",FALSE,NA,"Forest",1,FALSE
"Violet Turaco","Musophaga violacea","Turacos","Near Threatened",FALSE,"musophaga violacea",FALSE,NA,"Forest",2,FALSE
"Olive Ibis","Bostrychia olivacea","Ibises, Spoonbills","Least Concern",FALSE,"bostrychia olivacea",FALSE,NA,"Forest",1,FALSE
"Red-chested Owlet","Glaucidium tephronotum","Typical Owls","Least Concern",FALSE,"glaucidium tephronotum",FALSE,NA,"Forest",1,FALSE
"Sandy Scops-owl","Otus icterorhynchus","Typical Owls","Least Concern",FALSE,"otus icterorhynchus",FALSE,NA,"Forest",1,FALSE
"African Wood-owl","Strix woodfordii","Typical Owls","Least Concern",FALSE,"strix woodfordii",FALSE,NA,"Forest",1,FALSE
