"","x"
"1","Chalcomitra adelberti"
"2","Poicephalus gulielmi"
"3","Lophoceros semifasciatus"
"4","Ispidina picta"
"5","Eurystomus gularis"
"6","Gymnobucco peli"
"7","Dicrurus modestus"
"8","Nigrita bicolor"
"9","Dyaphorophyia hormophora"
"10","Pardipicus nivosus"
"11","Cinnyris superbus"
"12","Malimbus rubricollis"
"13","Nigrita fusconotus"
"14","Ploceus tricolor"
"15","Buteo auguralis"
"16","Dendropicos pyrrhogaster"
"17","Merops gularis"
"18","Malimbus malimbicus"
"19","Artomyias ussheri"
"20","Onychognathus fulgidus"
"21","Trachylaemus goffinii"
"22","Pholidornis rushiae"
"23","Buccanodon dowsetti"
"24","Stizorhina finschi"
"25","Dyaphorophyia blissetti"
"26","Malimbus scutatus"
"27","Eurillas gracilis"
"28","Pyrrhurus scandens"
"29","Accipiter toussenelii"
